ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGIDS	COGID	ALIGNMENT	BORROWING	ID_IN_SOURCE	NOTE
2720	OldBurmese	the hand	lak	lak	l a k		7707	229	- l - a - k		31150	
2721	OldBurmese	the head	kho₂ṅḥ	kho₂ṅḥ	kʰ ²/o ŋ ɦ		2991	690	kʰ - ²/o ŋ ɦ		31151	
2722	OldBurmese	the heart	nha◦luṃḥ	nha◦luṃḥ	nh/n̥ a + l u m̩/m ɦ		3025 3026	539	nh/n̥ a + l u m̩/m ɦ		31152	
2723	OldBurmese	the hoof	kho₁	kho₁	kʰ ¹/o		3065	1215	kʰ ¹/o		31153	
2724	OldBurmese	the horn (keratinized skin)	khyuiw	khyuiw	kʰ y u i w		3086	312	kʰ y u i w		31154	
2725	OldBurmese	the horse	mraṅḥ	mraṅḥ	m r a ŋ ɦ		3107	3151	m - r - - a ŋ ɦ - - -		31155	
2726	OldBurmese	the house	im	im	i m		3132	209	- i - - m		31156	
2727	OldBurmese	the husband	laṅ	laṅ	l a ŋ		3169	1951	l a ŋ		31157	
2728	OldBurmese	the ice	riy◦khai	riy◦khai	r i y kʰ a i		3187	1284	r i y kʰ a i		31158	
2729	OldBurmese	the knee	pu◦chac	pu◦chac	p u + cʰ a c		3238 3242	22	- p u - - + cʰ a c		31159	
2730	OldBurmese	the knee	duḥ	duḥ	d ū/u ɦ		3247	1057	d ū/u ɦ		31160	
2731	OldBurmese	the lake	kan	kan	k a n		3290	3209	- - - - - k a n		31161	
2732	OldBurmese	the leaf	ʔa◦ro₁k	ʔa◦ro₁k	ʔ a + r o₁/o k		3317 3318	881	ʔ a + r o₁/o k		31162	
2733	OldBurmese	the lip (the lips)	nhut	nhut	nh/n̥ u t		3358	1254	- nh/n̥ u t - -		31163	
2734	OldBurmese	the liver	ʔa◦sañḥ	ʔa◦sañḥ	ʔ a + s a ɲ ɦ		7737 3386	2076	- ʔ - a + s - a - ɲ ɦ -		31164	
2735	OldBurmese	the louse	sanḥ	sanḥ	s a n ɦ		3411	807	s a - - - n ɦ		31165	
2736	OldBurmese	the lung	ʔa◦chut	ʔa◦chut	ʔ a + cʰ u t		3438 3435	716	ʔ a + - cʰ u t		31166	
2737	OldBurmese	the meat	ʔa◦saḥ	ʔa◦saḥ	ʔ a + s ā/a ɦ		7820 7817	10227	ʔ a + s ā/a ɦ		31167	
2738	OldBurmese	the moon	laʔ	laʔ	l a ʔ		7941	2081	- - l - a ʔ		31168	
2739	OldBurmese	the mosquito	khraṅ	khraṅ	kʰ r a ŋ		3571	1121	kʰ r a ŋ		31169	
2740	OldBurmese	the mountain	to₂ṅ	to₂ṅ	t ²/o ŋ		3593	1079	t ²/o ŋ		31171	
2741	OldBurmese	the mouse or rat	kro₁k	kro₁k	k r o₁/o k		3617	1148	k r o₁/o k		31172	
2742	OldBurmese	the mouth	paḥ◦cap	paḥ◦cap	p ā/a ɦ + c a p		3643 3644	1033	p ā/a ɦ + c a p		31173	
2743	OldBurmese	the mouth	nhut	nhut	nh/n̥ u t		3645	1276	- nh/n̥ u t		31174	
2744	OldBurmese	the mud	rhvaṃḥ	rhvaṃḥ	r̥ v a m̩/m ɦ		3678	1180	r̥ v a m̩/m ɦ		31277	
2745	OldBurmese	the nail (fingernail or claw)	lak◦sañḥ	lak◦sañḥ	l a k + s a ɲ ɦ		3710 3706	88	l a - k + s a ɲ ɦ		31175	
2746	OldBurmese	the name	ʔa◦mañ	ʔa◦mañ	ʔ a + m a ɲ		3735 3730	18	ʔ a + - m - a - ɲ -		31176	
2747	OldBurmese	the neck	lañ	lañ	l a ɲ		3759	122	l - - a - ɲ		31177	
2748	OldBurmese	the needle (for sewing)	ʔap	ʔap	ʔ a p		7738	10231	ʔ - - a - - p		31178	
2749	OldBurmese	the nose	nha	nha	nh/n̥ ā/a		3869	2090	- nh/n̥ - ā/a		31179	
2750	OldBurmese	the otter	phyaṃ	phyaṃ	pʰ y a m̩/m		3897	1290	pʰ y a m̩/m		31180	
2751	OldBurmese	the pig	vak	vak	v a k		8572	2092	v - a k		31181	
2752	OldBurmese	the rain	ro₁	ro₁	r o₁/o		3961	10234	r o₁/o		31182	
2753	OldBurmese	the rainbow	sak◦taṃ	sak◦taṃ	s a k + t a m̩/m		3987 3988	3411	s a k + t a m̩/m		31183	
2754	OldBurmese	the rice plant	ko₂k	ko₂k	k ²/o k		4006	8235	k ²/o k		31184	
2755	OldBurmese	the river	mlac	mlac	m l a c		4028	3165	m l a c		31185	
2756	OldBurmese	the road	lamḥ	lamḥ	l a m ɦ		4050	2206	l a m ɦ		31186	
2757	OldBurmese	the root	mryat	mryat	m r y a t		4092	1074	m r y a t		31187	
2758	OldBurmese	the rope	kruiwḥ	kruiwḥ	k r u i w ɦ		4119	1071	k r u i w ɦ		31188	
2759	OldBurmese	the salt	chaḥ	chaḥ	cʰ ā/a ɦ		7849	4160	- cʰ - ā/a ɦ		31189	
2760	OldBurmese	the sand	sai	sai	s a i		4171	29779	s a i		31190	
2761	OldBurmese	the sea	paṅ◦lay	paṅ◦lay	p a ŋ + l a y		4190 4191	3827	p a ŋ + l a y		31191	
2762	OldBurmese	the seed	myuiwḥ◦ciyʔ	myuiwḥ◦ciyʔ	m y u i w ɦ + c i y ʔ		4212 4213	127	m y u i w ɦ + c i y ʔ		31192	
2763	OldBurmese	the sheep	suiwḥ	suiwḥ	s u i w ɦ		4240	3405	s u i w ɦ		31193	
2764	OldBurmese	the shit	khliyḥ	khliyḥ	kʰ l i y ɦ		4267	29700	kʰ l i y ɦ		38793	
2765	OldBurmese	the shoulder	pa◦khuṃḥ	pa◦khuṃḥ	p a + kʰ u m̩/m ɦ		4288 4293	10161	- p - a - - + kʰ u m̩/m ɦ		31194	
2766	OldBurmese	the skin	a◦riy	a◦riy	a + r i y		4355 4353	1163	a + r i y - - -		31195	
2767	OldBurmese	the sky	muiwḥ	muiwḥ	m u i w ɦ		4376	499	m u i w ɦ		31196	
2768	OldBurmese	the smoke	khuiwḥ	khuiwḥ	kʰ u i w ɦ		4403	68	- - kʰ u i w ɦ - -		31197	
2769	OldBurmese	the snake	mruy	mruy	m r u y		7814	70	m - - r u y -		31198	
2770	OldBurmese	the snow	nhaṅḥ	nhaṅḥ	nh/n̥ a ŋ ɦ		4463	692	nh/n̥ a ŋ ɦ		31199	
2771	OldBurmese	the son	saḥ	saḥ	s ā/a ɦ		7766	73	s ā/a ɦ		31200	
2772	OldBurmese	the sparrow	ca◦ka◦leḥ	ca◦ka◦leḥ	c ā/a + k a + l e ɦ		4510 4515 4516	3870	c ā/a + k a + l e ɦ		31278	
2773	OldBurmese	the spider	paṅʔ◦ku	paṅʔ◦ku	p a ŋ ʔ k ū/u		4533	3575	p a ŋ ʔ k ū/u		31201	
2774	OldBurmese	the star	kray	kray	k r a y		4551	1073	- - - k r - a y -		31202	
2775	OldBurmese	the stick	tut	tut	t u t		4582	1247	t u t		31203	
2776	OldBurmese	the stone (a piece of)	kyok	kyok	k y o k		4608	1078	k y o k		31279	
2777	OldBurmese	the sun	niy	niy	n i y		4627	83	n - i y -		31204	
2778	OldBurmese	the tail	mriḥ	mriḥ	m r ī/i ɦ		4652	84	- m r - ī/i ɦ -		31205	
2779	OldBurmese	the thigh	po₂ṅ	po₂ṅ	p ²/o ŋ		4689	3451	p ²/o ŋ		31206	
2780	OldBurmese	the thunder	myuivḥ khyunḥ	myuivḥ khyunḥ	m y u i v ɦ + kʰ y u n ɦ		4714 4715	1240	m y u i v ɦ + kʰ y u n ɦ		38794	
2781	OldBurmese	the tiger	klaḥ	klaḥ	k l ā/a ɦ		4738	1053	k l ā/a ɦ		31207	
2782	OldBurmese	the tongue	lhy	lhya	ɬ y ā/a		4760	4190	- - ɬ y - ā/a		31208	
2783	OldBurmese	the tooth (front)	svaḥ	svaḥ	s v ā/a ɦ		4781	10482	- s - v - ā/a ɦ -		31280	
2784	OldBurmese	the tree	sac◦paṅ	sac◦paṅ	s a c + p a ŋ		4806 4808	3396	s - a c + - p a ŋ		31209	
2785	OldBurmese	the water	riy	riy	r i y		4835	29782	- r i y		31210	
2786	OldBurmese	the wheat	gyuṃ	gyuṃ	g y ū m̩/m		4866	3831	g y ū m̩/m		31281	
2787	OldBurmese	the wind	liy	liy	l i y		7768	994	l - i y		31211	
2788	OldBurmese	the wing	to₂ṅ◦paṁ	to₂ṅ◦paṁ	t ²/o ŋ + p a m		4948 4949	1055	t ²/o ŋ + p a m		31212	
2789	OldBurmese	the woman	minḥ◦ma	minḥ◦ma	m i n ɦ + m a		4986 8124	29768	m - i n ɦ + m a		31282	
2790	OldBurmese	the wood (material)	sac	sac	s a c		5013	8175	s - a c		31213	
2791	OldBurmese	the year	ʔa◦nhac	ʔa◦nhac	ʔ a + n h a c		5089 5090	1866	ʔ a + n h a c		31214	
2792	OldBurmese	thick	tup	tup	t u p		5136	3690	t u p		31215	
2793	OldBurmese	thin (object)	paḥ	paḥ	p ā/a ɦ		5163	3196	- - - - - p - ā/a ɦ - - - -		31216	
2794	OldBurmese	thou [second person singular]	ññaññḥ	ññaññḥ	ññ/ȵ a ññ/ȵ ɦ		5189	10475	ññ/ȵ - a ññ/ȵ ɦ		31218	
2795	OldBurmese	three	suṃḥ	suṃḥ	s u m̩/m ɦ		7832	283	- - s u m̩/m ɦ -		31219	
2796	OldBurmese	to be alive	hiyʔ	hiyʔ	h i y ʔ		5237	3691	h i y ʔ - - -		31220	
2797	OldBurmese	to bite	ko₂k	ko₂k	k ²/o k		5272	1023	k ²/o k		31221	
2798	OldBurmese	to blow (of wind)	to₂k	to₂k	t ²/o k		5306	3692	t ²/o k		31222	
2799	OldBurmese	to burn [intransitive]	lo₂ṅ	lo₂ṅ	l ²/o ŋ		5351	1315	l ²/o ŋ		31223	
2800	OldBurmese	to buy	vay	vay	v a y		5406	947	v a y		31224	
2801	OldBurmese	to chew	vaḥ	vaḥ	v ā/a ɦ		5440	1220	v ā/a ɦ		31225	
2802	OldBurmese	to come	la	la	l ā/a		5491	883	- - l - ā/a -		31226	
2803	OldBurmese	to count	riy	riy	r i y		5550	1063	r i y		31227	
2804	OldBurmese	to count	tiyḥ	tiyḥ	t i y ɦ		5554	735	t i y ɦ		31228	
2805	OldBurmese	to cry (weep)	ṅuiv	ṅuiv	ŋ u i v		5584	1127	ŋ u i v		31229	
2806	OldBurmese	to die	siy	siy	s i y		5654	163	s - i y -		31230	
2807	OldBurmese	to dig	thuḥ	thuḥ	tʰ ū ɦ		5694	711	tʰ ū ɦ		31231	
2808	OldBurmese	to drink	so₂k	so₂k	s ²/o k		5718	1068	s ²/o k		31232	
2809	OldBurmese	to eat	caḥ	caḥ	c ā/a ɦ		5736	3419	c ā/a ɦ - -		31233	
2810	OldBurmese	to fight	ran◦phrac	ran◦phrac	r a n + pʰ r a c		5817 5818	1025	r a n + pʰ r a c		31283	
2811	OldBurmese	to float	po	po	p ō/o		7890	1082	p - ō/o		31284	
2812	OldBurmese	to float	myo	myo	m y ō/o		5855	2826	m y ō/o		31285	
2813	OldBurmese	to flow	ciḥ	ciḥ	c ī/i ɦ		5872	932	c ī/i ɦ		31234	
2814	OldBurmese	to fly (move through air)	pyaṃ	pyaṃ	p y a m̩/m		5887	10206	- - - p y a m̩/m -		31235	
2815	OldBurmese	to forget	miyʔ	miyʔ	m i y ʔ		5912	1575	- m - i y ʔ -		31236	
2816	OldBurmese	to give	piyḥ	piyḥ	p i y ɦ		5956	1913	p i y ɦ -		31237	
2817	OldBurmese	to hear	kraḥ	kraḥ	k r ā/a ɦ		6012	1042	k r ā/a ɦ		31238	
2818	OldBurmese	to hide (conceal)	pho₁k	pho₁k	pʰ o₁/o k		6034	1077	- pʰ - o₁/o k -		31239	
2819	OldBurmese	to hold	ko₂ṅ	ko₂ṅ	k ²/o ŋ		6090	1031	k ²/o ŋ		31240	
2820	OldBurmese	to hunt	a◦mai◦luik	a◦mai◦luik	a + m a i + l u i k		6124 6125 6126	1054	a + m a i + l u i k		31286	
2821	OldBurmese	to kill	sat	sat	s a t		6142	3125	s - a t		31241	
2822	OldBurmese	to knead	nay	nay	n a y		6173	4197	n a y - - -		31242	
2823	OldBurmese	to laugh	ray	ray	r a y		6225	438	r - a y -		31244	
2824	OldBurmese	to learn	saṅ	saṅ	s a ŋ		6254	2693	s a ŋ		31245	
2825	OldBurmese	to lick	lyak	lyak	l y a k		6287	101	- - l y - a k - - -		31246	
2826	OldBurmese	to lie down	lai	lai	l a i		7626	2697	l a i		31247	
2827	OldBurmese	to marry (a man marries a woman)	lak◦thap	lak◦thap	l a k + tʰ a p		6341 6342	3698	l a k + tʰ a p		31287	
2828	OldBurmese	to marry (a man marries a woman)	ññaḥ	ññaḥ	ññ/ȵ ā/a ɦ		6348	3699	ññ/ȵ ā/a ɦ		31288	
2829	OldBurmese	to marry (a man marries a woman)	ra	ra	r a		6349	3700	r a		31289	
2830	OldBurmese	to plant (vegetals, rice)	suik	suik	s u i k		6395	1118	s u i k		31290	
2831	OldBurmese	to play	ka caḥ	ka caḥ	k a c ā/a ɦ		7752	1030	k a c ā/a ɦ		38795	
2832	OldBurmese	to pull	cho₁y	cho₁y	cʰ o₁/o y		6460	1051	cʰ o₁/o y		31248	
2833	OldBurmese	to push	to₁nḥ	to₁nḥ	t o₁/o n ɦ		6477	1301	t o₁/o n ɦ - -		31249	
2834	OldBurmese	to push	tuivḥ	tuivḥ	t u i v ɦ		6497	3694	t u i v ɦ		31250	
2835	OldBurmese	to push	nhip	nhip	nh/n̥ i p		6499	3695	nh/n̥ i p		31251	
2836	OldBurmese	to reside (live)	niy	niy	n i y		6509	1038	n i y		31252	
2837	OldBurmese	to run	pliyḥ	pliyḥ	p l i y ɦ		6562	47	p l - - i y ɦ		31253	
2838	OldBurmese	to scratch	phyo₂k	phyo₂k	pʰ y ²/o k		8172	126	- pʰ y ²/o k - - - -		31254	
2839	OldBurmese	to see	mraṅ	mraṅ	m + r a ŋ		8490 6629	1329	m - + r - a ŋ		31255	
2840	OldBurmese	to shoot (an arrow)	pac	pac	p a c		6681	1089	p a c		31256	
2841	OldBurmese	to sing	chuiw	chuiw	cʰ u i w		6718	3260	cʰ u i w		31257	
2842	OldBurmese	to sleep	ʔip	ʔip	ʔ i p		6755	2244	- - ʔ - i - p		31258	
2843	OldBurmese	to smell (perceive odor) [transitive]	mhuyḥ	mhuyḥ	m̥ u y ɦ		6794	10548	m̥ u y ɦ		31259	
2844	OldBurmese	to spit	thuyḥ	thuyḥ	tʰ u y ɦ		6853	1067	- tʰ u y ɦ		31260	
2845	OldBurmese	to stand	ryap	ryap	r y a p		6930	2246	- r y a p - - -		31261	
2846	OldBurmese	to steal	khuiwḥ	khuiwḥ	kʰ u i w ɦ		6956	10464	- kʰ u - i w ɦ - -		31262	
2847	OldBurmese	to think (reflect)	tuyḥ	tuyḥ	t u y ɦ		7024	1061	t u y ɦ		31263	
2848	OldBurmese	to throw	pac	pac	p a c		7058	928	p a c		31291	
2849	OldBurmese	to vomit	ʔan	ʔan	ʔ a n		7141	3174	ʔ a n		31264	
2850	OldBurmese	to walk	lhyok	lhyok	ɬ y o k		7173	3697	ɬ y o k		31265	
2851	OldBurmese	to walk	svaḥ	svaḥ	s v ā/a ɦ		7901	887	s v - ā/a ɦ		31292	
2852	OldBurmese	to wipe	sut	sut	s u t		7213	1001	s u t - -		31266	
2853	OldBurmese	today	di◦neʔ	di◦neʔ	d ī/i + n e ʔ		7260 7256	3701	d ī/i + - n e ʔ		31293	
2854	OldBurmese	tomorrow	ma◦nak◦phran	ma◦nak◦phran	m a + n a k + pʰ r a n		7292 7291 7293	1263	m a + - - - n a k - + pʰ r a n		31294	
2855	OldBurmese	twenty	nhac◦chay	nhac◦chay	nh/n̥ a c cʰ a y		7312	2812	- - nh/n̥ - a - c - cʰ - a y -		31267	
2856	OldBurmese	two	nhac	nhac	nh/n̥ a c		7341	102	- - nh/n̥ - a c -		31268	
2857	OldBurmese	wet	cuiw	cuiw	c u i w		7390	900	- c u i w - - - -		31269	
2858	OldBurmese	white	phlu	phlu	pʰ l ū/u		7471	460	pʰ - l ū/u - - - - - - -		31270	
2859	OldBurmese	who	su	su	s ū/u		7495	2253	s - - ū/u - -		31271	
2860	OldBurmese	yellow	va	va	v ā/a		7543	3177	v ā/a		31272	
2861	OldBurmese	yesterday	ma◦neʔ◦ka	ma◦neʔ◦ka	m a + n e ʔ + k a		7614 7579 7571	2442	m a + - n - e ʔ + k a		31295	
2862	OldBurmese	young	ṅay	ṅay	ŋ a y		7607	1264	ŋ a y		31273	
2863	QueyuXinlong	I [first person singular]	ŋa¹³	ŋa¹³	ŋ ¹³/a		2	0	ŋ ¹³/a -		20553	
2864	QueyuXinlong	I [first person singular]	ŋɯ¹³	ŋɯ¹³	ŋ ¹³/ɯ		2	0	ŋ ¹³/ɯ -		16111	
2865	QueyuXinlong	above	je¹³ntɕhə⁵⁵	je¹³ntɕhə⁵⁵	j ¹³/e n + tɕʰ ⁵⁵/ə		38 30	0	j ¹³/e n + tɕʰ - ⁵⁵/ə		20420	
2866	QueyuXinlong	all	tə⁵⁵ɬye⁵⁵	tə⁵⁵ɬye⁵⁵	t ⁵⁵/ə + ɬ y ⁵⁵/e		8244 80	0	t ⁵⁵/ə + ɬ y ⁵⁵/e		20581	
2867	QueyuXinlong	bad	qa⁵⁵stsue⁵⁵	qa⁵⁵stsue⁵⁵	q ⁵⁵/a s ts u ⁵⁵/e		122	0	q ⁵⁵/a s ts u ⁵⁵/e		20650	
2868	QueyuXinlong	below, under	me¹³ntɕhə⁵⁵	me¹³ntɕhə⁵⁵	m ¹³/e n tɕʰ ⁵⁵/ə		180	0	- - m ¹³/e n tɕʰ ⁵⁵/ə		20421	
2869	QueyuXinlong	big	qo⁵⁵rʒi¹³	qo⁵⁵rʒi¹³	q ⁵⁵/o r ʒ ¹³/i		223	0	q ⁵⁵/o r ʒ ¹³/i		20582	
2870	QueyuXinlong	black	ȵe⁵⁵ȵe³³	ȵe⁵⁵ȵe³³	ȵ ⁵⁵/e ȵ ³³/e		242	0	ȵ - ⁵⁵/e - - ȵ ³³/e		20613	
2871	QueyuXinlong	cold (of temperature)	qa⁵⁵tʃa¹³	qa⁵⁵tʃa¹³	q ⁵⁵/a + tʃ ¹³/a		8052 284	0	q ⁵⁵/a + - tʃ - ¹³/a - - -		20661	
2872	QueyuXinlong	cold (of temperature)	tʃa¹³tʃa⁵⁵	tʃa¹³tʃa⁵⁵	tʃ ¹³/a tʃ ⁵⁵/a		284	0	- tʃ - ¹³/a - tʃ ⁵⁵/a		20660	
2873	QueyuXinlong	correct (right)	ʑe¹³	ʑe¹³	ʑ ¹³/e		303	0	- ʑ - ¹³/e -		20645	
2874	QueyuXinlong	dark	ma⁵⁵psue⁵⁵	ma⁵⁵psue⁵⁵	m ⁵⁵/a + p s u ⁵⁵/e		331 7741	0	m ⁵⁵/a + p s u ⁵⁵/e		20621	
2875	QueyuXinlong	dirty	qa⁵⁵stsue⁵⁵	qa⁵⁵stsue⁵⁵	q ⁵⁵/a + s ts u ⁵⁵/e		8287 368	0	q ⁵⁵/a + s ts u ⁵⁵/e		20672	
2876	QueyuXinlong	dry	ru¹³ru³³	ru¹³ru³³	r ¹³/u r ³³/u		8558	0	- r ¹³/u - - r ³³/u		23597	
2877	QueyuXinlong	early	qa⁵⁵ŋguə⁵⁵	qa⁵⁵ŋguə⁵⁵	q ⁵⁵/a ŋ g u ⁵⁵/ə		427	0	q ⁵⁵/a ŋ g u ⁵⁵/ə		20626	
2878	QueyuXinlong	eight	pʃɛ¹³	pʃɛ¹³	p + ʃ ¹³/ɛ		8431 7733	0	p - + - - ʃ - ¹³/ɛ -		20468	
2879	QueyuXinlong	far	tha⁵⁵ri⁵⁵	tha⁵⁵ri⁵⁵	tʰ ⁵⁵/a + r ⁵⁵/i	_8037 _474	8037 474	0	- tʰ ⁵⁵/a - + r ⁵⁵/i -	tib	20590	
2880	QueyuXinlong	firewood	se⁵⁵	se⁵⁵	s ⁵⁵/e		507	0	- s - ⁵⁵/e -		25415	
2881	QueyuXinlong	five	ŋua⁵⁵	ŋua⁵⁵	ŋ u ⁵⁵/a		534	0	- ŋ u ⁵⁵/a - - -		20465	
2882	QueyuXinlong	four	bʒi¹³	bʒi¹³	b ʒ ¹³/i	_566	566	0	b ʒ ¹³/i	tib	20464	
2883	QueyuXinlong	full	psɔ⁵⁵	psɔ⁵⁵	p + s ⁵⁵/ɔ		8552 584	0	p + s ⁵⁵/ɔ -		20598	
2884	QueyuXinlong	good	qa⁵⁵tɕhi⁵⁵	qa⁵⁵tɕhi⁵⁵	q ⁵⁵/a tɕʰ ⁵⁵/i		619	0	q ⁵⁵/a tɕʰ ⁵⁵/i		20649	
2885	QueyuXinlong	green	n̥ɯ⁵⁵n̥ɯ³³	n̥ɯ⁵⁵n̥ɯ³³	n̥ ⁵⁵/ɯ n̥ ³³/ɯ		646	0	- - - - - - n̥ - ⁵⁵/ɯ - - - - - n̥ ³³/ɯ		20617	
2886	QueyuXinlong	hard	qɯ⁵⁵qɯ³³	qɯ⁵⁵qɯ³³	q ⁵⁵/ɯ q ³³/ɯ		682	0	- q - ⁵⁵/ɯ - - q - ³³/ɯ -		20638	
2887	QueyuXinlong	heavy	qa⁵⁵rlə⁵⁵	qa⁵⁵rlə⁵⁵	q ⁵⁵/a + r l ⁵⁵/ə		8393 703	0	q ⁵⁵/a + r - - l - ⁵⁵/ə - - - - - -		20622	
2888	QueyuXinlong	here	tʃi⁵⁵ kɯ⁵⁵	tʃi⁵⁵ kɯ⁵⁵	tʃ ⁵⁵/i + k ⁵⁵/ɯ		727 7804	0	tʃ ⁵⁵/i + k ⁵⁵/ɯ - -		20570	
2889	QueyuXinlong	high / tall	mthy³³mthy⁵⁵	mthy³³mthy⁵⁵	m tʰ ³³/y m tʰ ⁵⁵/y	_763	763	0	m tʰ ³³/y m tʰ ⁵⁵/y	tib	22402	
2890	QueyuXinlong	horizontal	mtʂhe⁵⁵mtʂhe³³	mtʂhe⁵⁵mtʂhe³³	m ʈʂʰ ⁵⁵/e m ʈʂʰ ³³/e	_801	801	0	m ʈʂʰ ⁵⁵/e m ʈʂʰ ³³/e	tib	20610	
2891	QueyuXinlong	hot	qa⁵⁵lu⁵⁵	qa⁵⁵lu⁵⁵	q ⁵⁵/a + l ⁵⁵/u		8396 839	0	q ⁵⁵/a + l - ⁵⁵/u - -		20659	
2892	QueyuXinlong	hot	lu⁵⁵lu³³	lu⁵⁵lu³³	l ⁵⁵/u l ³³/u		839	0	l - ⁵⁵/u l ³³/u		22087	
2893	QueyuXinlong	hundred	bdʑə¹³	bdʑə¹³	b + dʑ ¹³/ə		8291 7856	0	b - + - dʑ - ¹³/ə -		20483	
2894	QueyuXinlong	inside	qo¹³ŋa⁵⁵	qo¹³ŋa⁵⁵	q ¹³/o ŋ ⁵⁵/a		907	0	q ¹³/o ŋ ⁵⁵/a		20410	
2895	QueyuXinlong	late	qa⁵⁵noŋ⁵⁵	qa⁵⁵noŋ⁵⁵	q ⁵⁵/a n o ⁵⁵/ŋ		938	0	q ⁵⁵/a n o ⁵⁵/ŋ		20627	
2896	QueyuXinlong	left	spu⁵⁵ʁʑye⁵⁵	spu⁵⁵ʁʑye⁵⁵	s p ⁵⁵/u + ʁ ʑ y ⁵⁵/e		968 955	0	s p ⁵⁵/u + ʁ - - - - ʑ y ⁵⁵/e - -		20405	
2897	QueyuXinlong	light (of weight)	ʑe⁵⁵ʑe³³	ʑe⁵⁵ʑe³³	ʑ ⁵⁵/e ʑ ³³/e		982	0	ʑ ⁵⁵/e ʑ ³³/e - - - - - - -		20623	
2898	QueyuXinlong	long	qa³³ʂsi⁵⁵	qa³³ʂsi⁵⁵	q ³³/a + ʂ s ⁵⁵/i		1008 1007	0	q ³³/a + - - - ʂ s - - - ⁵⁵/i - - - - - -		20588	
2899	QueyuXinlong	many	qa⁵⁵ji³³	qa⁵⁵ji³³	q ⁵⁵/a j ³³/i		1043	0	q ⁵⁵/a j ³³/i		20600	
2900	QueyuXinlong	middle	tha¹³və⁵⁵	tha¹³və⁵⁵	tʰ ¹³/a v ⁵⁵/ə		1090	0	tʰ ¹³/a v ⁵⁵/ə		20403	
2901	QueyuXinlong	morning	mthɛ³³riɛ⁵⁵	mthɛ³³riɛ⁵⁵	m tʰ ³³/ɛ + r i ⁵⁵/ɛ		7842 8274	0	m tʰ ³³/ɛ + r i ⁵⁵/ɛ		20431	
2902	QueyuXinlong	narrow	tɕhə⁵⁵tʃhə³³	tɕhə⁵⁵tʃhə³³	tɕʰ ⁵⁵/ə tʃʰ ³³/ə		1142	0	- tɕʰ - ⁵⁵/ə - - tʃʰ ³³/ə		20593	
2903	QueyuXinlong	near	qɛ¹³qɛ⁵⁵	qɛ¹³qɛ⁵⁵	q ¹³/ɛ + q ⁵⁵/ɛ		1166 1166	0	q ¹³/ɛ + q ⁵⁵/ɛ		20591	
2904	QueyuXinlong	new	xsar⁵⁵pe⁵⁵	xsar⁵⁵pe⁵⁵	x s ⁵⁵/a r p ⁵⁵/e	_1191	1191	0	x s ⁵⁵/a r p ⁵⁵/e - - - -	tib	20647	
2905	QueyuXinlong	nine	ku⁵⁵	ku⁵⁵	k ⁵⁵/u		1210	0	- k - - ⁵⁵/u - - - -		20469	
2906	QueyuXinlong	noon	ndzɛ¹³ri⁵⁵tie¹³	ndzɛ¹³ri⁵⁵tie¹³	n dz ¹³/ɛ r ⁵⁵/i + t i ¹³/e		1249 8295	0	n dz ¹³/ɛ r ⁵⁵/i + t i ¹³/e		20432	
2907	QueyuXinlong	old (of person)	ga¹³rge⁵⁵	ga¹³rge⁵⁵	g ¹³/a + r g ⁵⁵/e	8297 _1267	8297 1267	0	g ¹³/a + - r g ⁵⁵/e - -	tib	20653	
2908	QueyuXinlong	one	tɯ⁵⁵	tɯ⁵⁵	t ⁵⁵/ɯ		1292	0	t ⁵⁵/ɯ -		15596	
2909	QueyuXinlong	outside	ʁa¹³wə⁵⁵	ʁa¹³wə⁵⁵	ʁ ¹³/a w ⁵⁵/ə		1349	0	ʁ ¹³/a w ⁵⁵/ə		17038	
2910	QueyuXinlong	red	ȵ̥e⁵⁵ȵ̥e³³	ȵ̥e⁵⁵ȵ̥e³³	ȵ̊ ⁵⁵/e ȵ̊ ³³/e		1389	0	ȵ̊ - - ⁵⁵/e - - ȵ̊ ³³/e		20615	
2911	QueyuXinlong	right	sto⁵⁵ʁʑye⁵⁵	sto⁵⁵ʁʑye⁵⁵	s t ⁵⁵/o ʁ ʑ y ⁵⁵/e		1427	0	s t ⁵⁵/o ʁ ʑ y ⁵⁵/e		20406	
2912	QueyuXinlong	round	ɣar¹³ga⁵⁵mə³³	ɣar¹³ga⁵⁵mə³³	ɣ ¹³/a r + g ⁵⁵/a m ³³/ə		1452 7690	0	ɣ ¹³/a r - - - + g ⁵⁵/a m ³³/ə		20603	
2913	QueyuXinlong	salty	tɕhi⁵⁵tə³³qa⁵⁵si³¹	tɕhi⁵⁵tə³³qa⁵⁵si³¹	tɕʰ ⁵⁵/i + t ³³/ə + q ⁵⁵/a + s ³¹/i		1490 8284 8283 8571	0	tɕʰ ⁵⁵/i + t ³³/ə + q ⁵⁵/a + s ³¹/i		20668	
2914	QueyuXinlong	seven	sna⁵⁵	sna⁵⁵	s n ⁵⁵/a		1511	0	s n - ⁵⁵/a - -		20467	
2915	QueyuXinlong	sharp	qa⁵⁵kɕe⁵⁵	qa⁵⁵kɕe⁵⁵	q ⁵⁵/a k ɕ ⁵⁵/e		1546	0	q ⁵⁵/a k ɕ ⁵⁵/e		20628	
